Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Prenom;Référence de commande;Telephone;Type;Type d'intervention;Volume
6 RUE 1 HAY BOUHDILABOUHDILA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;13:08;M2T;702102;34.930714;-2.34184;2,12662E+11;BOUHDILA;CASH PLUS;34602 - B - 7;1;;DM220385952;2,12662E+11;;;0
Boulevard El Ahram Rue El Massira Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;13:20;M2T;702007;34.934518;-2.331045;2,12671E+11;BERALAHRAM;CASH PLUS;34602 - B - 7;1;;DM220385952;2,12671E+11;;;0
16 Al Ahram Hay Al Massira Berkane Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;13:25;M2T;006438;34.93566;-2.33132;2,1262E+11;Chaabi Cash Centre de Services et de Financement;M2T;34602 - B - 7;1;;DM220385952;2,1262E+11;;;0
7 Bis Bd Fes Hay El Ouahda Berkane Hay El Ouahda Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;13:33;M2T;010265;34.93893;-2.33288;2,12662E+11;Chaabi Cash Daka Negoce;M2T;34602 - B - 7;1;;DM220385952;2,12662E+11;;;0
Souk Lakhmiss Centre Madagh Madagh;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;13:58;M2T;003342;35.01055;-2.33756;2,12613E+11;Chaabi Cash Afroukh;M2T;34602 - B - 7;1;;DM220385952;2,12613E+11;;;0
RUE AL FATH LOT AL ANSAR 02 LAATAMNA Laatamna;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;14:23;M2T;702139;35.009495;-2.26107;2,12619E+11;CAFE MAURE;CASH PLUS;34602 - B - 7;1;;DM220385952;2,12619E+11;;;0
Lotiss Ikhae NÂ°24 Saidia Saidia;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;14:57;M2T;003599;35.08496;-2.22135;2,12639E+11;Chaabi Cash TM Travaux;M2T;34602 - B - 7;1;;DM220385952;2,12639E+11;;;0
Angle Bd Hassan II et Rue de la Poste 63602 SAIDIA CASABLANCA;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;15:05;M2T;083919;35.08594;-2.226403;2,12213E+11;BC SAIDIA;BARID CASH;34602 - B - 7;1;;DM220385952;2,12213E+11;;;0
Bd. Mohamed V Quartier Administratif 63052 AHFIR CASABLANCA;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;16:02;M2T;083678;34.9546363;-2.0984665;2,12213E+11;BC AHFIR;BARID CASH;34602 - B - 7;1;;DM220385952;2,12213E+11;;;0
Rue Berkane N° 52 Ahfir;El bachir  ayyadi;;;;;10:00-19:00;;30/03/2022;5;;16:09;M2T;700363;34.951819;-2.099753;2,12537E+11;AHFIR;CASH PLUS;34602 - B - 7;1;;DM220385952;2,12537E+11;;;0
135 bd dakhla berchid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:00;M2T;702302;33.26286;-7.57974;2,12669E+11;BERRECHID LA GARE;CASH PLUS;95101-H-6;1;;DM220385952;2,12669E+11;;;0
Nø7 Avenue Abou Bakr Essanaoubari 16034 BERRECHID Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:06;M2T;083857;33.26394;-7.57531;2,12602E+11;BC BERRECHID YASSMINA;BARID CASH;95101-H-6;1;;DM220385952;2,12602E+11;;;0
NÂ°143 Rue Brahim Roudani Brahim Roudani Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:11;M2T;006002;33.26352;-7.57466;2,12661E+11;Chaabi Cash Promabi;M2T;95101-H-6;1;;DM220385952;2,12661E+11;;;0
147 Bd Brahim Roudani El Wahda Berrechid Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:17;M2T;010056;33.26385;-7.5713;2,12664E+11;Chaabi Cash Lamari;M2T;95101-H-6;1;;DM220385952;2,12664E+11;;;0
OMRA1/27 BERRECHID ROUDANI CASABLANCA;morad hammaoui ;;;;;10:00-19:00;;30/03/2022;5;;10:23;M2T;098552;33.262696;-7.566997;2,12213E+11;MCS BERRECHID ROUDANI;BARID CASH;95101-H-6;1;;DM220385952;2,12213E+11;;;0
N560 Hay Hassani Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:31;M2T;000519;33.27219;-7.57146;2,12637E+11;Chaabi Cash M2t - Berrechid - Hay Hassan;M2T;95101-H-6;1;;DM220385952;2,12637E+11;;;0
Adresse/ n 85 lot ben messaoud 1 Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:37;M2T;701759;33.27413;-7.57229;2,12656E+11;Hay Raha;CASH PLUS;95101-H-6;1;;DM220385952;2,12656E+11;;;0
26 Lot Sidi Lahcen Magasin Gauche Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:44;M2T;006070;33.27575;-7.58008;2,12669E+11;Chaabi Cash Espace Jihane Services;M2T;95101-H-6;1;;DM220385952;2,12669E+11;;;0
31 LOT 2 SIDI LAHCEN 2 RDC Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;10:50;M2T;701512;33.27729;-7.57971;2,12674E+11;EL MANDAR EL JAMIL BERRECHID;CASH PLUS;95101-H-6;1;;DM220385952;2,12674E+11;;;0
NÃ¸61 IMM 3 AL MADINA A COTE DE STATION IFRIQUIA CASABLANCA;morad hammaoui ;;;;;10:00-19:00;;30/03/2022;5;;11:23;M2T;097568;33.443452;-7.50353;2,12213E+11;PCASH DEROUA MEDINA;BARID CASH;95101-H-6;1;;DM220385952;2,12213E+11;;;0
Lotissement Tissir 2 Lot N 557 Lotissement Tissir Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;12:17;M2T;000536;33.27075;-7.57963;2,12668E+11;Chaabi Cash M2t - Berrechid - Lotissement Tissir;M2T;95101-H-6;1;;DM220385952;2,12668E+11;;;0
86 Rue Ali Bnou Abi Talib Berrechid Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;12:36;M2T;006525;33.26697;-7.58503;2,12679E+11;Chaabi Cash ZMJ Technologie;M2T;95101-H-6;1;;DM220385952;2,12679E+11;;;0
Rdc Rue Okba Bnou Nafii N 6 Gauche Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;12:42;M2T;010112;33.26793;-7.58786;2,12665E+11;Chaabi Cash Nour Technique Bureautique;M2T;95101-H-6;1;;DM220385952;2,12665E+11;;;0
Rdc Lotis Al Manbat 38 Arrabii Berrechid Al Manbat Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;30/03/2022;5;;12:50;M2T;010012;33.26055;-7.59851;2,12664E+11;Chaabi CAsh Amzil Cash;M2T;95101-H-6;1;;DM220385952;2,12664E+11;;;0
Avenue Mohamed V Quartier Administratif 26452 OULAD ABBOU CASABLANCA;morad hammaoui ;;;;;10:00-19:00;;30/03/2022;5;;14:11;M2T;083444;33.121813;-7.940957;2,12213E+11;BC OULAD ABBOU;BARID CASH;95101-H-6;1;;DM220385952;2,12213E+11;;;0
Centre Khmis Sidi Mhamed B Rhal Settat Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;15:34;M2T;000753;32.77702;-7.77232;2,12662E+11;Chaabi Cash Hijaoui Nour;M2T;95101-H-6;1;;DM220385952;2,12662E+11;;;0
QUARTIER SMAALA Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;16:01;M2T;701949;32.99724;-7.62293;2,12645E+11;SMAALA;CASH PLUS;95101-H-6;1;;DM220385952;2,12645E+11;;;0
55 Rue Ibn Khaldoun Smaala Settat Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;16:06;M2T;000969;32.99715;-7.62317;2,12669E+11;Chaabi Cash ON Services;M2T;95101-H-6;1;;DM220385952;2,12669E+11;;;0
HAY ESSALAM IERE TRANCHE N 236 Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;16:33;M2T;700198;32.99581;-7.64535;2,12661E+11;DIYAR SOLTANA;CASH PLUS;95101-H-6;1;;DM220385952;2,12661E+11;;;0
Bd Bouchaib Ben Lbssir N? 17 Hay Cheikh Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;16:45;M2T;700400;33.00696;-7.62428;2,12524E+11;SETCHEIKH;CASH PLUS;95101-H-6;1;;DM220385952;2,12524E+11;;;0
126 Bd Mly Ismail Derb Omar Settat Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;16:53;M2T;000958;33.00202;-7.61363;2,12663E+11;Chaabi Cash Argent Sett;M2T;95101-H-6;1;;DM220385952;2,12663E+11;;;0
Rue Tchad Hay Pam 26003 SETTAT CASABLANCA;morad hammaoui ;;;;;10:00-19:00;;30/03/2022;5;;16:59;M2T;083746;33.0019379;-7.6102102;2,12213E+11;BC SETTAT SAMIR;BARID CASH;95101-H-6;1;;DM220385952;2,12213E+11;;;0
n 139 bis avenue aghmathay sidi abdelkrim Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;17:05;M2T;701112;32.99752;-7.60795;2,1263E+11;DALAS;CASH PLUS;95101-H-6;1;;DM220385952;2,1263E+11;;;0
Rdc N 2 Bd Abderrahman Skirej Hay Mabrouka Settat Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;17:11;M2T;000851;32.9987;-7.6124;2,12661E+11;Chaabi Cash Hbiti;M2T;95101-H-6;1;;DM220385952;2,12661E+11;;;0
Quartier Kheir Rue Dris Lahrizi Nr 114 Settat Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;17:24;M2T;000949;32.98852;-7.6077;2,12663E+11;Chaabi Cash Sakhi Cash;M2T;95101-H-6;1;;DM220385952;2,12663E+11;;;0
LOT 517 N° 1 QUARTIER MOUJAMAA ELKHEIR Settat;morad hammaoui ;;;;;13:00-19:00;;30/03/2022;5;;17:31;M2T;700854;32.99204;-7.60165;2,12669E+11;MOUJAMAA ELKHEIR;CASH PLUS;95101-H-6;1;;DM220385952;2,12669E+11;;;0
18 ROUTE OD AYAD CENTRE OULED FARES Ouled faress;morad hammaoui ;;;;;10:00-19:00;;30/03/2022;5;;18:59;M2T;701087;32.78949;-7.21101;2,12661E+11;OULED FARES SETTAT;CASH PLUS;95101-H-6;1;;DM220384298;2,12661E+11;;;0
OPER BAB MANZAH MAG 38 AZOUZIAEn face la gare rout Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;10:00;M2T;700289;31.68359;-8.07465;2,12639E+11;AZOUZIA GARE ROUTIÉRE;CASH PLUS;6415 T 6;1;;DM220385952;2,12639E+11;;;0
NÂ° 554 Afaq I Saada Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;10:23;M2T;004042;31.64442;-8.11397;2,12663E+11;Tasshilat KM Tech;M2T;6415 T 6;1;;DM220385952;2,12663E+11;;;0
Zone 15 Groupe Gh2 Imm 9 Appt N5 Les Portes De Marrakech Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;10:44;M2T;004075;31.63024;-8.0758;2,12661E+11;Chaabi Cash Librairie Papeterie;M2T;6415 T 6;1;;DM220385952;2,12661E+11;;;0
MAG Z3 OPERATION AMAL 2 IZIKI Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;10:52;M2T;700217;31.62775;-8.06808;2,12663E+11;HAY IZIKI;CASH PLUS;6415 T 6;1;;DM220385952;2,12663E+11;;;0
108 RTE Essaouira MarrakechDouar iziki Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;10:57;M2T;701652;31.62775;-8.06808;2,12633E+11;DOUAR IZIKI;CASH PLUS;6415 T 6;1;;DM220385952;2,12633E+11;;;0
N B-404 Hay Al Massira Ii Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;11:09;M2T;000539;31.6293;-8.0671;2,12674E+11;Chaabi Cash M2T Marrakech Saleh;M2T;6415 T 6;1;;DM220385952;2,12674E+11;;;0
Immenble Farach boullevad Massira 3 Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;11:28;M2T;700239;31.64298;-8.06516;2,12626E+11;MASSIRA3 FR;CASH PLUS;6415 T 6;1;;DM220385952;2,12626E+11;;;0
Magasin n 24 operation gharb b 1 Massira 2 Operati Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;11:45;M2T;701118;31.63513;-8.06337;2,12613E+11;Massira 2 Lgharb;CASH PLUS;6415 T 6;1;;DM220385952;2,12613E+11;;;0
Imm 532 Massira 1 A Mag 1 Marrakech Massira 1 Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;11:55;M2T;004218;31.63174;-8.05241;2,12671E+11;Chaabi Cash First Family;M2T;6415 T 6;1;;DM220385952;2,12671E+11;;;0
Rue LaÆ’youne Douar Iziki 40004 MARRAKECH CASABLANCA;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;12:19;M2T;083719;31.6249381;-8.0583956;2,12213E+11;BC MARRAKECH DOUAR IZIKI;BARID CASH;6415 T 6;1;;DM220385952;2,12213E+11;;;0
Hay Iziki El Jadid No 394 Marrakech Hay Iziki El Jadid Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;12:26;M2T;004220;31.62092;-8.05903;2,12691E+11;Chaabi Cash Assar Cash;M2T;6415 T 6;1;;DM220385952;2,12691E+11;;;0
Hay Iziki N?1 C4 Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;12:32;M2T;700060;31.62189;-8.0558;2,1266E+11;MARIZIKIFR;CASH PLUS;6415 T 6;1;;DM220385952;2,1266E+11;;;0
1874 Mhamid Maatallah Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;12:55;M2T;015108;31.60431;-8.05163;2,1268E+11;Tasshilat Hajrati;M2T;6415 T 6;1;;DM220385952;2,1268E+11;;;0
Lotissement Maatalah 2168 Askjour N 21Maatallah Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;13:03;M2T;701631;31.59942;-8.05234;2,12656E+11;MAATALLAH;CASH PLUS;6415 T 6;1;;DM220385952;2,12656E+11;;;0
Lamhamid Hosna 1 N 365 Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;13:12;M2T;700071;31.59493;-8.05064;2,1261E+11;MARLAMHAMIDFR2;CASH PLUS;6415 T 6;1;;DM220385952;2,1261E+11;;;0
AVENUE HASSAN 2 IMMEUBLE DAHIR HAY HASSANI BLOC A MAGASIN C MARRAKECH CASABLANCA;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;13:18;M2T;097976;31.593176;-8.053132;2,12213E+11;MASTER CASHÃ¿MARRAKECH HASSAN 2;BARID CASH;6415 T 6;1;;DM220385952;2,12213E+11;;;0
NÃ¸07 ET 08 GH2-MHAMID 07-OPÂRATION BORJ AZZAITOUNE, 40160, MARRAKECH CASABLANCA;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;13:27;M2T;083422;31.587218;-8.048861;2,12213E+11;BC MARRAKECH BORJ ZAITOUN;BARID CASH;6415 T 6;1;;DM220385952;2,12213E+11;;;0
Magasin 1 N 1656 Bloc 33 M Hamid Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;13:37;M2T;004127;31.59225;-8.03868;2,12662E+11;Chaabi Cash IMMI Services;M2T;6415 T 6;1;;DM220385952;2,12662E+11;;;0
Lamhamid Aghli 1 N? 33 Marrakech Lamnara Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;13:54;M2T;700403;31.59346;-8.03071;2,12524E+11;LAMHAMID;CASH PLUS;6415 T 6;1;;DM220385952;2,12524E+11;;;0
Mag Sis A N 209 Mhamid 3 Marrakech Mhamid 3 Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;14:01;M2T;004219;31.59695;-8.02842;2,12668E+11;Chaabi Cash Airport Money Center;M2T;6415 T 6;1;;DM220385952;2,12668E+11;;;0
Dr bouaakaz bloc 8 N 302 Mhamid BOUAAKAZ Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;14:10;M2T;701886;31.59487;-8.02253;2,12611E+11;BOUAAKAZ;CASH PLUS;6415 T 6;1;;DM220385952;2,12611E+11;;;0
Mag 142 Complexe Cherifia Rte Amezmiz Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;14:20;M2T;700537;31.58784;-8.00988;2,12666E+11;Cherifia Marrakech;CASH PLUS;6415 T 6;1;;DM220385952;2,12666E+11;;;0
Opération el manar 6 Imm B rue al irak Guiliz Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;14:42;M2T;701270;31.622893;-8.028599;2,12671E+11;MARRAKECH El Manar Guiliz;CASH PLUS;6415 T 6;1;;DM220385952;2,12671E+11;;;0
11 BIS DOUAR LASKAR Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;14:51;M2T;701517;31.62774;-8.04209;2,12664E+11;DOUAR ASKAR 2;CASH PLUS;6415 T 6;1;;DM220385952;2,12664E+11;;;0
Sidi mbarek n 457 targa marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;15:01;M2T;701996;31.63464;-8.04153;2,12614E+11;SIDI MBARK;CASH PLUS;6415 T 6;1;;DM220385952;2,12614E+11;;;0
N 14 Lotissement Safsaf Targa Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;15:08;M2T;004131;31.63683;-8.04922;2,12669E+11;Chaabi Cash Namaoui Invest;M2T;6415 T 6;1;;DM220385952;2,12669E+11;;;0
Douar Sidi Mbarek Opration Bahia Immeuble B3 N 21 Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;15:16;M2T;004167;31.64062;-8.04641;2,12667E+11;Chaabi Cash Transation Sofia;M2T;6415 T 6;1;;DM220385952;2,12667E+11;;;0
N1 LOT ENNOUR AKIOUD Marrakech;Hassan  Ait said;;;;;10:00-19:00;;30/03/2022;5;;15:38;M2T;701317;31.65233;-8.03214;2,12665E+11;AKIOUD FR 2;CASH PLUS;6415 T 6;1;;DM220385952;2,12665E+11;;;0
Av Des Far Dcheira El Jihadia Dcheira el jihadia;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:00;M2T;008127;30.36482;-9.540778;2,12662E+11;Tasshilat Bengrich;M2T;79211-H-6;1;;DM220385952;2,12662E+11;;;0
13 E AV IBN TOFAYL HAY RMEL ,86350 INEZGANEHAY RME Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:09;M2T;701843;30.35849;-9.54972;2,12661E+11;HAY RMEL INZGANE;CASH PLUS;79211-H-6;1;;DM220385952;2,12661E+11;;;0
AVENUE MY CHERIF BLOC 10 Agadir;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:18;M2T;700430;30.35181;-9.55453;2,12529E+11;AGADIR TARAST;CASH PLUS;79211-H-6;1;;DM220385952;2,12529E+11;;;0
Voie 6 N14 Hay Sidi Fadoul Tarrast Inezgane Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:25;M2T;008093;30.34811;-9.5592;2,12612E+11;Chaabi Cash R&M Univers;M2T;79211-H-6;1;;DM220385952;2,12612E+11;;;0
Hay Ermel Tarrast 86355 INEZGANE CASABLANCA;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:36;M2T;083769;30.3497281;-9.5488438;2,12213E+11;BC INEZGANE TARRAST;BARID CASH;79211-H-6;1;;DM220385952;2,12213E+11;;;0
N 10 AV BOUZGAR JORF INEZGANE Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:44;M2T;701172;30.34936;-9.5404;2,12655E+11;BOUZGAR;CASH PLUS;79211-H-6;1;;DM220385952;2,12655E+11;;;0
Avenue Moulay Ali Cherif Jorf 86353 INEZGANE CASABLANCA;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:50;M2T;083643;30.3517129;-9.537655;2,12213E+11;BC INEZGANE MESDOURA;BARID CASH;79211-H-6;1;;DM220385952;2,12213E+11;;;0
AVENUE HASSAN 1 ER CITE MY ISMAIL Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;10:56;M2T;700448;30.35544;-9.53342;2,12529E+11;INZEGAN HAY EL MOUADAFIN;CASH PLUS;79211-H-6;1;;DM220385952;2,12529E+11;;;0
av laayoune lot tamazart Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;11:03;M2T;702236;30.35092;-9.53038;2,12669E+11;Ait Melloul Hay TAMAZART;CASH PLUS;79211-H-6;1;;DM220385952;2,12669E+11;;;0
B 3 N 18 boulevard Mohamed 5 Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;11:15;M2T;702148;30.34867;-9.50457;2,12662E+11;ASSAYS AIT MELLOUL;CASH PLUS;79211-H-6;1;;DM220385952;2,12662E+11;;;0
Av ait baamrane hay el mostaqbal ait melloulel mos Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;11:22;M2T;700539;30.35035;-9.49289;2,12661E+11;AIT MELLOUL HAY ALMOSTAQBAL;CASH PLUS;79211-H-6;1;;DM220385952;2,12661E+11;;;0
BLOC7 N 34 QUARTIE AZROU AIT MELLOUL Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;11:31;M2T;700420;30.36014;-9.46214;2,12528E+11;EUROSOL AIT MELLOUL CR;CASH PLUS;79211-H-6;1;;DM220385952;2,12528E+11;;;0
BLOC 8 MOSSQUEE AL AADL HAY AZROU Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;11:46;M2T;701494;30.36057;-9.45637;2,12672E+11;MOSQUE AL AADL AZROU;CASH PLUS;79211-H-6;1;;DM220385952;2,12672E+11;;;0
Avenue mokhtar soussi N 1161 Temssia Temsia;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;11:57;M2T;701746;30.36537;-9.41482;2,12615E+11;Centre Temssia;CASH PLUS;79211-H-6;1;;DM220385952;2,12615E+11;;;0
ROUTE PRINCIPALE TAMAITE Agadir;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;12:36;M2T;700339;30.393389;-9.382933;2,12667E+11;CENTRE TAMAITE;CASH PLUS;79211-H-6;1;;DM220385952;2,12667E+11;;;0
LOTISSEMENT MOULAY N 37 DRARGA Drargua;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:00;M2T;700268;30.37982;-9.47527;2,12676E+11;DRARGUA LGOUIRA;CASH PLUS;79211-H-6;1;;DM220385952;2,12676E+11;;;0
LOT EL YAMAM HASSAN QUARTIE EL HANAE N 10 Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:07;M2T;701381;30.38251;-9.4801;2,12528E+11;EUROSOL DRARGUA;CASH PLUS;79211-H-6;1;;DM220385952;2,12528E+11;;;0
Hay Sidi Said Drarga Agadir Drarga Drargua;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:13;M2T;006927;30.37924;-9.4797363;2,12639E+11;Chaabi Cash Akfousa Cash;M2T;79211-H-6;1;;DM220385952;2,12639E+11;;;0
HAY NAHDA El HAJEB N 138 BIS AVENUE D BLOC8 Tikiouine;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:21;M2T;701607;30.37502;-9.49297;2,12678E+11;EL HAJEB TIKIOUINE;CASH PLUS;79211-H-6;1;;DM220385952;2,12678E+11;;;0
HAY ZAITOUNE TIKIOUINE Tikiouine;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:29;M2T;701404;30.38125;-9.4943;2,12661E+11;TIKOUINE HAY ZAITOUNE;CASH PLUS;79211-H-6;1;;DM220385952;2,12661E+11;;;0
HAY OUJAA CENTRE TIKIOUINE CASABLANCA;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:37;M2T;098431;30.377537;-9.502124;2,12213E+11;BC FRC TIKIOUINE;BARID CASH;79211-H-6;1;;DM220385952;2,12213E+11;;;0
Douar Souiri Tikiouine Agadir Agadir;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:45;M2T;008086;30.37412;-9.5117076;2,1267E+11;Tasshilat Boutoumit;M2T;79211-H-6;1;;DM220385952;2,1267E+11;;;0
Hay El Farah N? 1, Route Tiznit Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;13:56;M2T;700407;30.3423;-9.50245;2,12528E+11;AITMELLOUL;CASH PLUS;79211-H-6;1;;DM220385952;2,12528E+11;;;0
61 avenue Ahmed al hansali programme argana 2 ait Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;14:27;M2T;700234;30.32715;-9.49719;2,12606E+11;Ait Melloul Quartier Industriel;CASH PLUS;79211-H-6;1;;DM220385952;2,12606E+11;;;0
Douar Takad Sidi Bibi Sidi bibi;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;14:43;M2T;006690;30.25571;-9.52751;2,12669E+11;Tasshilat Tirani;M2T;79211-H-6;1;;DM220385952;2,12669E+11;;;0
Lotissement Rochdi Centre Sidi Bibi Biougra Sidi Bibi Sidi bibi;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;14:54;M2T;010524;30.23925;-9.5261;2,12662E+11;Chaabi Cash Maryla;M2T;79211-H-6;1;;DM220385952;2,12662E+11;;;0
ROUTE DE BIOUGRA LQLIAA 86356 INEZGANE AIT MELLOUL CASABLANCA;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;15:24;M2T;098986;30.297572;-9.462927;2,12213E+11;AWY LQLIAA;BARID CASH;79211-H-6;1;;DM220385952;2,12213E+11;;;0
MAG ait ouagmar Oued Essafa Biougra;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;15:36;M2T;701688;30.3035;-9.44016;2,12645E+11;Ait ouagmar oued Essafa;CASH PLUS;79211-H-6;1;;DM220385952;2,12645E+11;;;0
N 67 Lotis Talaint Laqliaa Lqliaa;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;15:51;M2T;006230;30.3129;-9.47585;2,12661E+11;Chaabi Cash Maison de Quatre Saisons;M2T;79211-H-6;1;;DM220385952;2,12661E+11;;;0
Hay Laazib Laqliaa Lqliaa;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;15:58;M2T;006212;30.318355;-9.480968;2,12696E+11;Chaabi Cash Sefema;M2T;79211-H-6;1;;DM220385952;2,12696E+11;;;0
Boulvard Mouqaouama Quartier admin Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;30/03/2022;5;;16:09;M2T;700507;30.34108;-9.48427;2,12661E+11;Ait melloul Quartier Admin;CASH PLUS;79211-H-6;1;;DM220385952;2,12661E+11;;;0
