Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume
N 1 RUE HAYTAME HAY TIHITE Tinghir;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;13:31;M2T;701038;31.46896;-5.578383;+212661325769;TIHITE TINGHIR;CASH PLUS;34595 - B - 7;1;DM220497837;+212661325769;;;0
Hay Issfoula Harte El Mourabitine Tinghir Tinghir;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;14:12;M2T;006904;31.460692;-5.417355;+212633613016;Chaabi Cash Afraw Global;M2T;34595 - B - 7;1;DM220497837;+212633613016;;;0
ROUTE PRINCIPALE ALNIF Alnif;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;15:47;M2T;098319;31.115677;-5.166734;+212618837377;ID ALNIF;BARID CASH;34595 - B - 7;1;DM220497837;+212618837377;;;0
BD HASSAN 2 N°112 Tinejdad;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;17:33;M2T;701101;31.508583;-5.0345;+212635505175;TINJDAD HASSAN 2;CASH PLUS;34595 - B - 7;1;DM220497837;+212635505175;;;0
CENTRE KSSAR AL MELLAAB RUE 702 Melaab;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;18:08;M2T;097585;31.5496457;-4.849459;+212663752823;P CASH KSSAR AL MELLAABÿ;BARID CASH;34595 - B - 7;1;DM220497837;+212663752823;;;0
ksar touroug Ksar touroug;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;18:31;M2T;097586;31.564648;-4.714291;+212663752823;P CASH KSSAR TOUROUGUEÿ;BARID CASH;34595 - B - 7;1;DM220497837;+212663752823;;;0
N 15 LOTISSEMENT ZOUHOUR HAY BLALIAA Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;700213;30.4693;-8.87324;+212661575306;HAY BLALIAA;CASH PLUS;WW892912;1;DM220497837;+212661575306;;;0
N 12 Boulevard Mly Rachid Taroudant Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;10:06;M2T;006116;30.47184;-8.87335;+212672645419;Chaabi Cash Missou Car;M2T;WW892912;1;DM220497837;+212672645419;;;0
Imm El Mokhtar Prs Mosque Bounouna Mhaita Taroudant Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;10:14;M2T;006416;30.475686;-8.861719;+212661504912;Tasshilat Bouali;M2T;WW892912;1;DM220497837;+212661504912;;;0
RUE PRINCIPALE N 10 Aoulouz; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;11:35;M2T;701318;30.67278;-8.17661;+212611600181;AOULOUZ;CASH PLUS;WW892912;1;DM220497837;+212611600181;;;0
route marrakech centre oulad berhiloulad berhil Oulad berhil; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;12:23;M2T;700301;30.64338;-8.47232;+212613241248;OULED BERHIL 2;CASH PLUS;WW892912;1;DM220497837;+212613241248;;;0
Place Des Taxis Ouled Berhil Ouled Berhil Oulad berhil; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;12:29;M2T;006799;30.64123;-8.474984;+212661661126;Chaabi Cash Ousayma Feres;M2T;WW892912;1;DM220497837;+212661661126;;;0
Mhayta Mhayta Taroudant Mhayta Taroudannt Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;13:13;M2T;010399;30.47644;-8.87006;+212678742101;Tasshilat Nassif;M2T;WW892912;1;DM220497837;+212678742101;;;0
N 12 Ferek Lahbab Taroudant Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;13:21;M2T;700359;30.47333;-8.87895;+212528551997;TAROUDANTE;CASH PLUS;WW892912;1;DM220497837;+212528551997;;;0
Bd SIdi Mohamed N:48 El Hdada Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;13:27;M2T;700408;30.46883;-8.88147;+212528851017;TAROUDANT;CASH PLUS;WW892912;1;DM220497837;+212528851017;;;0
Dr El Qasba Taroudant Zaouia Sidi Taher Taroudant; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;13:56;M2T;006994;30.47081;-9.06859;+212625999196;Tasshilat Benibourk;M2T;WW892912;1;DM220497837;+212625999196;;;0
AVENUE HASSAN II CENTRE IGHREM Igherm; Rachid EL MOUTAOUAKIL;;;;;10:00-19:00;;18/04/2022;5;;17:56;M2T;098435;30.08861;-8.46178;+212661147143;FRC IGHREM;BARID CASH;WW892912;1;DM220497837;+212661147143;;;0
N° 12 Rue Meknes Bloc A Hay El Wifaq Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;700161;32.88427;-6.91861;+212600829100;Khouribga Hay El Wifaq;CASH PLUS;23638-E-6;1;DM220497837;+212600829100;;;0
51 Hay El Jadid.Ocp. Khouribga Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:10;M2T;701098;32.87323;-6.90004;+212668130498;KHOURIBGA Hay El Jadid;CASH PLUS;23638-E-6;1;DM220497837;+212668130498;;;0
nø237 Nouvelle Construction de Sechage Khouribga 25014 KHOURIBGA Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:16;M2T;083866;32.87725;-6.89883;+212602391376;BC KHOURIBGA HAY ESSALAM;BARID CASH;23638-E-6;1;DM220497837;+212602391376;;;0
NAHDA Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:24;M2T;700325;32.88624;-6.90523;+212600684614;16nouvembre nahda khouribga;CASH PLUS;23638-E-6;1;DM220497837;+212600684614;;;0
Bd 16 Novembre Bloc R 57 Et 63 Nahda Khouribga Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:29;M2T;003079;32.88553;-6.9055;+212661484777;Chaabi Cash Atkrpl;M2T;23638-E-6;1;DM220497837;+212661484777;;;0
Hay iqbal nø65 Avenue Ahmed Elhiba Nahda 25015 KHOURIBGA Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:34;M2T;083861;32.88593;-6.90402;+212602391624;BC KHOURIBGA NAHDA;BARID CASH;23638-E-6;1;DM220497837;+212602391624;;;0
46 bloc g rue laayoune hay nahda khouribgaHay nahd Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:41;M2T;700308;32.89106;-6.90345;+212660225937;NAHDA KHOURIBGA;CASH PLUS;23638-E-6;1;DM220497837;+212660225937;;;0
45 Bis Dimachq El Khwadria bloc 9 Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;10:49;M2T;701362;32.89067;-6.89102;+212523492605;DIMACHQ;CASH PLUS;23638-E-6;1;DM220497837;+212523492605;;;0
158 Tachroun Boujniba;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;11:09;M2T;700356;32.8963981;-6.77567;+212523571082;BOUJNIBA;CASH PLUS;23638-E-6;1;DM220497837;+212523571082;;;0
N° 12 MARCHET COUVERT, Lagfaf;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;11:26;M2T;702380;32.92069;-6.71512;+212697687890;LAGFAF;CASH PLUS;23638-E-6;1;DM220497837;+212697687890;;;0
Rue Souk Tnin N? 32 Oued zem;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;11:51;M2T;700402;32.8562379;-6.5758;+212523411558;OUEDZEM;CASH PLUS;23638-E-6;1;DM220497837;+212523411558;;;0
Rue beni amir n 94 ouedzem Oued zem;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;11:57;M2T;700487;32.8566382;-6.573255;+212610430603;Zankat beni amir;CASH PLUS;23638-E-6;1;DM220497837;+212610430603;;;0
NÂ° 186 Bd Mohamed V Oued Zem Oued zem;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;12:04;M2T;003676;32.86286;-6.56945;+212666117670;Chaabi Cash Selmatra;M2T;23638-E-6;1;DM220497837;+212666117670;;;0
N C13 Lotissement El Hassania Rue El Habaq Oued Zem Oued Zem Oued zem;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;13:02;M2T;010017;32.86545;-6.55168;+212641828851;Chaabi Cash Hicham Cash;M2T;23638-E-6;1;DM220497837;+212641828851;;;0
29 Bis Rue De Lindustrie Oued Zem Oued Zem Oued zem;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;13:18;M2T;010043;32.8654;-6.57219;+212623512097;Chaabi Cash Zougaghi Cash;M2T;23638-E-6;1;DM220497837;+212623512097;;;0
77 I Lot Arrayyan Oued Zem Oued Zem Oued zem;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;13:24;M2T;010007;32.87157;-6.57296;+212652166068;Tasshilat Errossafi;M2T;23638-E-6;1;DM220497837;+212652166068;;;0
Boutique N2 Commune Ouled Boughadi Ouled Boughadi Ouled boughadi;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;13:56;M2T;006787;33.07304;-6.7102;+212628888063;Chaabi Cash SA2TM;M2T;23638-E-6;1;DM220497837;+212628888063;;;0
1 KISSARIAT EL KHEIR CENTRE BEN AHMED Ben ahmed;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;15:50;M2T;097970;33.063666;-7.244437;+212662117763;OX BEN AHMED;BARID CASH;23638-E-6;1;DM220497837;+212662117763;;;0
BD Zellaga Quartier Al Amal, 25020, KHOURIBGA Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;16:53;M2T;083745;32.89015;-6.92782;+212702006312;BC KHOURIBGA AL AMAL;BARID CASH;23638-E-6;1;DM220497837;+212702006312;;;0
99 lot el houdaHay riad Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;17:02;M2T;700506;32.87634;-6.92637;+212645014430;hay riad;CASH PLUS;23638-E-6;1;DM220497837;+212645014430;;;0
N°163 bis, Rue Tamsna, Hay Jamila Khouribga;Abdennacer TAIMOURYA;;;;;10:00-19:00;;18/04/2022;5;;17:10;M2T;700441;32.88313;-6.91998;+212523565814;EUROSOL KHOURIBGA RUE TAMESNA;CASH PLUS;23638-E-6;1;DM220497837;+212523565814;;;0
Hay Hassani Derb Jdid Avenue Afghnistan N? 394 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;09:59;M2T;701364;33.5707974;-7.6774472;+212522914956;CASBDAFGHANISTAN;CASH PLUS;94671-H-6;1;DM220497837;+212522914956;;;0
Bd Oum Rabia. Hay El Oulfa Hay El Oulfa 20202 CASABLANCA Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;10:29;M2T;083816;33.5578356;-7.6803061;+212699340218;BC CASA OULFA;BARID CASH;94671-H-6;1;DM220497837;+212699340218;;;0
N119 Lotissement Zoubir Rdc Casablanca Zoubir Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:09;M2T;024022;33.541341;-7.6858772;+212679447582;Chaabi Cash M2t- Zoubir Casablanca;M2T;94671-H-6;1;DM220497837;+212679447582;;;0
ROND POINT FARAH ESSALAM EL AZHAR Nø6 OULFA CASABLANCA Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:17;M2T;098968;33.5394768;-7.6932565;+212663435170;FDC CASA FARAH SALAM;BARID CASH;94671-H-6;1;DM220497837;+212663435170;;;0
Cite Essalam Bis Square Res Al Manar Imm 2 Magasin N 21 Casablanca Cite Essalam Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:22;M2T;009491;33.5379904;-7.693401;+212661301597;Chaabi Cash SKY COS;M2T;94671-H-6;1;DM220497837;+212661301597;;;0
Marcher lissasfa2 n2 route aljadida Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:44;M2T;701415;33.532947;-7.67006;+212614815544;Lissafa 2 El Marchi;CASH PLUS;94671-H-6;1;DM220497837;+212614815544;;;0
N 67 Lot Chahdia El Oulfa Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:05;M2T;000516;33.5475422;-7.681207;+212625390026;Chaabi Cash M2t- Casablanca - El Oulfa;M2T;94671-H-6;1;DM220497837;+212625390026;;;0
Boulvard Salam n 22 Oulfa Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:10;M2T;700326;33.5472016;-7.6816053;+212661163064;ESSALAM OULFA;CASH PLUS;94671-H-6;1;DM220497837;+212661163064;;;0
N? 323 Bd Oued Daoura Lot Chahdia Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:15;M2T;700396;33.5473084;-7.6811195;+212522897197;CASCHAHDIA;CASH PLUS;94671-H-6;1;DM220497837;+212522897197;;;0
42 Extension Bd de Sebou 20240 casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:24;M2T;083847;33.5506086;-7.6842857;+212602358865;BC CASA AZHARI;BARID CASH;94671-H-6;1;DM220497837;+212602358865;;;0
GROUP S RUE 56 N 95 QUARTIE OULFA Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:39;M2T;701288;33.5558071;-7.6855447;+212662745975;EL OULFA 2;CASH PLUS;94671-H-6;1;DM220497837;+212662745975;;;0
wifak 2 .rue 65 n 40 oulfa Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:22;M2T;701145;33.5593747;-7.6925247;+212660005391;CASELOULFA;CASH PLUS;94671-H-6;1;DM220497837;+212660005391;;;0
5 op raid oulfa etg mg 141 gr 39 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:32;M2T;702299;33.5514443;-7.7026269;+212669400655;Riad El Oulfa;CASH PLUS;94671-H-6;1;DM220497837;+212669400655;;;0
RAHMA CENTRE Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:45;M2T;702181;33.5351396;-7.7212838;+212665670718;RAHMA CENTRE;CASH PLUS;94671-H-6;1;DM220497837;+212665670718;;;0
Boulevard Oued Sebou,Arrahma Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:55;M2T;700733;33.5294571;-7.7351284;+212662587245;Arrahma 80;CASH PLUS;94671-H-6;1;DM220497837;+212662587245;;;0
Ikamat Al Amal Gh 4 Imm 38 Rahma Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;14:05;M2T;009094;33.5345581;-7.7360923;+212614068079;Chaabi Cash GBNI;M2T;94671-H-6;1;DM220497837;+212614068079;;;0
Jnane El Mouhit Gh5 Imm J10 Magasin N 28 Dar Bouazza Casablanca Jnane El Mouhit Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;14:11;M2T;009504;33.536344;-7.737108;+212661265566;CHAABI Cash MK Khadamat;M2T;94671-H-6;1;DM220497837;+212661265566;;;0
Km 19 route d azemourTamaris 2 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;14:43;M2T;701804;33.501342;-7.856983;+212663762270;Tamaris km 19;CASH PLUS;94671-H-6;1;DM220497837;+212663762270;;;0
Centre Commune Rurale Dar Bouazza 27223 NOUACEUR Nouaceur;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:02;M2T;083781;33.5214229;-7.8231982;+212702093126;BC DAR BOUAZZA;BARID CASH;94671-H-6;1;DM220497837;+212702093126;;;0
N 9 Lot Al Fath S 4 Gh38 Imm 282 Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;18:49;M2T;009234;33.5165996;-7.7181208;+212661869343;Chaabi Cash Mors Service;M2T;94671-H-6;1;DM220497837;+212661869343;;;0
12 RUE BOUJEMAA 1 ER ETG APT N 6 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;18:59;M2T;701955;33.5174743;-7.7072098;+212645257844;IRAQUI RES BADR;CASH PLUS;94671-H-6;1;DM220497837;+212645257844;;;0
Rue Berkane N° 52 Ahfir;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;700363;34.951819;-2.099753;+212536627374;AHFIR;CASH PLUS;34602 - B - 7;1;DM220497837;+212536627374;;;0
Angle Bd Hassan II et Rue de la Poste 63602 SAIDIA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;10:45;M2T;083919;35.08594;-2.226403;+212701083125;BC SAIDIA;BARID CASH;34602 - B - 7;1;DM220497837;+212701083125;;;0
Lotiss Ikhae NÂ°24 Saidia Saidia;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;10:52;M2T;003599;35.08496;-2.22135;+212638931271;Chaabi Cash TM Travaux;M2T;34602 - B - 7;1;DM220497837;+212638931271;;;0
RUE AL FATH LOT AL ANSAR 02 LAATAMNA Laatamna;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;11:23;M2T;702139;35.009495;-2.26107;+212618673490;CAFE MAURE;CASH PLUS;34602 - B - 7;1;DM220497837;+212618673490;;;0
Souk Lakhmiss Centre Madagh Madagh;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;11:46;M2T;003342;35.01055;-2.33756;+212613176393;Chaabi Cash Afroukh;M2T;34602 - B - 7;1;DM220497837;+212613176393;;;0
16 Al Ahram Hay Al Massira Berkane Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:11;M2T;006438;34.93566;-2.33132;+212620307565;Chaabi Cash Centre de Services et de Financement;M2T;34602 - B - 7;1;DM220497837;+212620307565;;;0
Boulevard El Ahram Rue El Massira Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:16;M2T;702007;34.934518;-2.331045;+212670843813;BERALAHRAM;CASH PLUS;34602 - B - 7;1;DM220497837;+212670843813;;;0
69,Rue Chouhada Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:25;M2T;701345;34.92867;-2.334098;+212536230803;BERKANE;CASH PLUS;34602 - B - 7;1;DM220497837;+212536230803;;;0
Bloc Ae2 Bd Prince Heritier Sidi Slimane Cheraa Sidi Slimane Chraa Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:40;M2T;006577;34.91114;-2.34746;+212601559656;Chaabi Cash Gusto Car;M2T;34602 - B - 7;1;DM220497837;+212601559656;;;0
HAY IBNO SINAE HAY BOUKRAA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:54;M2T;700360;34.921882;-2.324608;+212536615888;IBNOUSINA;CASH PLUS;34602 - B - 7;1;DM220497837;+212536615888;;;0
N 9 RUR EL MOUAHIDINE HAY BOUKRAA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;13:01;M2T;700093;34.92159;-2.322832;+212661980409;BERELYOUSSFI;CASH PLUS;34602 - B - 7;1;DM220497837;+212661980409;;;0
45 Rue Sijilmassa Hay Palestine Berkane Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;13:10;M2T;006666;34.91566;-2.3158;+212622096128;Chaabi Cash Al Wijdan Service;M2T;34602 - B - 7;1;DM220497837;+212622096128;;;0
Rue Sijilmassa Quartier El Ouidadia 63302 BERKANE Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;13:15;M2T;083765;34.9163452;-2.3154867;+212700617427;BC BERKANE EL OUIDADAYA;BARID CASH;34602 - B - 7;1;DM220497837;+212700617427;;;0
86 Rue Ali Bnou Abi Talib Berrechid Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:11;M2T;006525;33.26697;-7.58503;+212678878600;Chaabi Cash ZMJ Technologie;M2T;95101-H-6;1;DM220497837;+212678878600;;;0
NÂ°143 Rue Brahim Roudani Brahim Roudani Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:29;M2T;006002;33.26352;-7.57466;+212661134090;Chaabi Cash Promabi;M2T;95101-H-6;1;DM220497837;+212661134090;;;0
147 Bd Brahim Roudani El Wahda Berrechid Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:35;M2T;010056;33.26385;-7.5713;+212664240278;Chaabi Cash Lamari;M2T;95101-H-6;1;DM220497837;+212664240278;;;0
Bd Rahhal Meskini 26102 Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:42;M2T;083416;33.26908;-7.57391;+212604800098;BC BERRECHID HAY HASSANI;BARID CASH;95101-H-6;1;DM220497837;+212604800098;;;0
N560 Hay Hassani Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:48;M2T;000519;33.27219;-7.57146;+212636808349;Chaabi Cash M2t - Berrechid - Hay Hassan;M2T;95101-H-6;1;DM220497837;+212636808349;;;0
RESIDENCE MEDINA 2 Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:17;M2T;701511;33.37091;-7.54203;+212699239174;MEDINA 2 DEROUA;CASH PLUS;95101-H-6;1;DM220497837;+212699239174;;;0
LOT EL WAFA N 93 BD OUM RABII DEROUA Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:23;M2T;701210;33.3726485;-7.5362225;+212663503206;DEROUA OUM RABII;CASH PLUS;95101-H-6;1;DM220497837;+212663503206;;;0
Mag N15 Nabila Makhlouf 2 Deroua El Gara Deroua Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:32;M2T;000909;33.38596;-7.53288;+212609410817;Chaabi Cash Star Services Auto;M2T;95101-H-6;1;DM220497837;+212609410817;;;0
ETAGE RBC 540 LOTTISEMENT WAFA Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:42;M2T;701179;33.36909;-7.52915;+212664550394;DEROUALWAFA;CASH PLUS;95101-H-6;1;DM220497837;+212664550394;;;0
hay farah N 24 Bloc PAM III Bd Mekki elhejjaji Sidi hajjaj oulad mrah;morad hammaoui ;;;;;10:00-19:00;;18/04/2022;5;;13:24;M2T;701017;32.9157463;-7.2631756;+212602127650;Sidi Hajjaj;CASH PLUS;95101-H-6;1;DM220497837;+212602127650;;;0
Centre Dar chafai brouj Quasbatt dar chafaye;morad hammaoui ;;;;;10:00-19:00;;18/04/2022;5;;14:55;M2T;701034;32.54952;-7.49977;+212608489177;DAR CHAFAII;CASH PLUS;95101-H-6;1;DM220497837;+212608489177;;;0
62 tranche 04Hay essalam Settat;morad hammaoui ;;;;;13:00-19:00;;18/04/2022;5;;16:40;M2T;700932;32.99553;-7.64633;+212623777939;Hay essalam tranche 04;CASH PLUS;95101-H-6;1;DM220497837;+212623777939;;;0
Hay Iziki El Jadid No 394 Marrakech Hay Iziki El Jadid Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;18/04/2022;5;;10:07;M2T;004220;31.62092;-8.05903;+212690959669;Chaabi Cash Assar Cash;M2T;6415 T 6;1;DM220497837;+212690959669;;;0
Lamhamid Aghli 1 N? 33 Marrakech Lamnara Marrakech;Hassan  Ait said;;;;;10:00-19:00;;18/04/2022;5;;10:34;M2T;700403;31.59346;-8.03071;+212524372681;LAMHAMID;CASH PLUS;6415 T 6;1;DM220497837;+212524372681;;;0
Magasin 1 N 1656 Bloc 33 M Hamid Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;18/04/2022;5;;10:51;M2T;004127;31.59225;-8.03868;+212662035077;Chaabi Cash IMMI Services;M2T;6415 T 6;1;DM220497837;+212662035077;;;0
Lamhamid Hosna 1 N 365 Marrakech Marrakech;Hassan  Ait said;;;;;10:00-19:00;;18/04/2022;5;;11:05;M2T;700071;31.59493;-8.05064;+212610172673;MARLAMHAMIDFR2;CASH PLUS;6415 T 6;1;DM220497837;+212610172673;;;0
Lot AFAQ 02 NR 87 SAADA Marrakech;Hassan  Ait said;;;;;10:00-19:00;;18/04/2022;5;;11:44;M2T;702285;31.64128;-8.11001;+212771266506;Marrakech El AFAK;CASH PLUS;6415 T 6;1;DM220497837;+212771266506;;;0
13 E AV IBN TOFAYL HAY RMEL ,86350 INEZGANEHAY RME Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;701843;30.35849;-9.54972;+212661332024;HAY RMEL INZGANE;CASH PLUS;79211-H-6;1;DM220497837;+212661332024;;;0
Hay Ermel Tarrast 86355 INEZGANE Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:06;M2T;083769;30.35469;-9.55365;+212602364085;BC INEZGANE TARRAST;BARID CASH;79211-H-6;1;DM220497837;+212602364085;;;0
Voie 6 N14 Hay Sidi Fadoul Tarrast Inezgane Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:15;M2T;008093;30.34811;-9.5592;+212611886084;Chaabi Cash R&M Univers;M2T;79211-H-6;1;DM220497837;+212611886084;;;0
AVENUE MY CHERIF BLOC 10 Agadir;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:23;M2T;700430;30.35181;-9.55453;+212528837133;AGADIR TARAST;CASH PLUS;79211-H-6;1;DM220497837;+212528837133;;;0
N 10 AV BOUZGAR JORF INEZGANE Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:40;M2T;701172;30.34936;-9.5404;+212655300771;BOUZGAR;CASH PLUS;79211-H-6;1;DM220497837;+212655300771;;;0
AVENUE HASSAN 1 ER CITE MY ISMAIL Inezgane;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:49;M2T;700448;30.35544;-9.53342;+212528838319;INZEGAN HAY EL MOUADAFIN;CASH PLUS;79211-H-6;1;DM220497837;+212528838319;;;0
av laayoune lot tamazart Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;10:57;M2T;702236;30.35092;-9.53038;+212668747471;Ait Melloul Hay TAMAZART;CASH PLUS;79211-H-6;1;DM220497837;+212668747471;;;0
B 3 N 18 boulevard Mohamed 5 Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;11:15;M2T;702148;30.34867;-9.50457;+212661701241;ASSAYS AIT MELLOUL;CASH PLUS;79211-H-6;1;DM220497837;+212661701241;;;0
Hay El Farah N? 1, Route Tiznit Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;11:21;M2T;700407;30.3423;-9.50245;+212528246014;AITMELLOUL;CASH PLUS;79211-H-6;1;DM220497837;+212528246014;;;0
AV AIT BAAMRANE QUARTIER AL MOUSTAQBAL AIT MELLOUL Ait melloul;Mohamed HMIMOU;;;;;10:00-19:00;;18/04/2022;5;;11:38;M2T;702005;30.34774;-9.49503;+212650223107;AIT MELLOUL HAY ALMOUSAQBAL;CASH PLUS;79211-H-6;1;DM220497837;+212650223107;;;0
