Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume;rejection
RUE 159 N 16 OULFA Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;10:36;;;33.5554942;-7.679229299999999;+212623904189;COOPERATIVE DAR LEMLIH, MME FATIMA;;94671-H-6;1;;+212623904189;;;0;Hub n'est pas egale a M2T
00 charaf 02 res 22 imm 02 app10 oulfa Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;10:41;;;33.5554942;-7.679229299999999;+212624898336;inwi, HOUSSAINI FATIMA ZAHRA;;94671-H-6;1;;+212624898336;;;0;Hub n'est pas egale a M2T
Boulevard Oued Sebou,Arrahma Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;10:48;;;33.5525743;-7.6785159;+212662587245;Warak_CNSS, M2T_CASH PLUS_700733;;94671-H-6;1;;+212662587245;;;0;Hub n'est pas egale a M2T
51 BD ouad Moulouya lotissement selouane ETG 5 oulfa Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;10:56;;;33.5465963;-7.6778078;+212602988027;Moroccan Bazaar, Maryam Kessassi;;94671-H-6;1;;+212602988027;;;0;Hub n'est pas egale a M2T
lotissement roubir immeuble 209 appartement 4 Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;11:04;;;33.5416779;-7.6843308;+212771557799;Moroccan Bazaar, الهام الشرقاوي;;94671-H-6;1;;+212771557799;;;0;Hub n'est pas egale a M2T
N119 Lotissement Zoubir Rdc Casablanca Zoubir Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:09;M2T;024022;33.541341;-7.6858772;+212679447582;Chaabi Cash M2t- Zoubir Casablanca;M2T;94671-H-6;1;DM220497837;+212679447582;;;0;date de depart non conforme
ROND POINT FARAH ESSALAM EL AZHAR Nø6 OULFA CASABLANCA Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:17;M2T;098968;33.5394768;-7.6932565;+212663435170;FDC CASA FARAH SALAM;BARID CASH;94671-H-6;1;DM220497837;+212663435170;;;0;date de depart non conforme
Cite Essalam Bis Square Res Al Manar Imm 2 Magasin N 21 Casablanca Cite Essalam Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:22;M2T;009491;33.5379904;-7.693401;+212661301597;Chaabi Cash SKY COS;M2T;94671-H-6;1;DM220497837;+212661301597;;;0;date de depart non conforme
00 JAMILA 7 RUE 8 N 57 ( ECOLE MAJDA) Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;11:34;;;33.536734;-7.6798307;+212671160320;inwi, AZZA ADIL;;94671-H-6;1;;+212671160320;;;0;Hub n'est pas egale a M2T
Marcher lissasfa2 n2 route aljadida Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;11:44;M2T;701415;33.532947;-7.67006;+212614815544;Lissafa 2 El Marchi;CASH PLUS;94671-H-6;1;DM220497837;+212614815544;;;0;date de depart non conforme
00 Mohamed Taieb Naciri Résidence Ziad B Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;11:57;;;33.5505054;-7.672361;+212661320556;PERSONIMO.MA, Rania Guessous;;94671-H-6;1;;+212661320556;;;0;Hub n'est pas egale a M2T
N 67 Lot Chahdia El Oulfa Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:05;M2T;000516;33.5475422;-7.681207;+212625390026;Chaabi Cash M2t- Casablanca - El Oulfa;M2T;94671-H-6;1;DM220497837;+212625390026;;;0;date de depart non conforme
Boulvard Salam n 22 Oulfa Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:10;M2T;700326;33.5472016;-7.6816053;+212661163064;ESSALAM OULFA;CASH PLUS;94671-H-6;1;DM220497837;+212661163064;;;0;date de depart non conforme
N? 323 Bd Oued Daoura Lot Chahdia Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:15;M2T;700396;33.5473084;-7.6811195;+212522897197;CASCHAHDIA;CASH PLUS;94671-H-6;1;DM220497837;+212522897197;;;0;date de depart non conforme
42 Extension Bd de Sebou 20240 casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:24;M2T;083847;33.5506086;-7.6842857;+212602358865;BC CASA AZHARI;BARID CASH;94671-H-6;1;DM220497837;+212602358865;;;0;date de depart non conforme
hay alfa 00 Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;12:32;;;33.5548623;-7.683641799999999;+212661268415;Moroccan Bazaar, fatimazahrae barada;;94671-H-6;1;;+212661268415;;;0;Hub n'est pas egale a M2T
GROUP S RUE 56 N 95 QUARTIE OULFA Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;12:39;M2T;701288;33.5558071;-7.6855447;+212662745975;EL OULFA 2;CASH PLUS;94671-H-6;1;DM220497837;+212662745975;;;0;date de depart non conforme
00 SIDI EL KHADIR RUE 3 NUMERO 25 Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;12:47;;;33.5617679;-7.6844537;+212663525468;inwi, CHIGRI ILHAM;;94671-H-6;1;;+212663525468;;;0;Hub n'est pas egale a M2T
00 HAY EL BARAKA KARIA RUE MLY ABDESSALAM NRD 55 Salé;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;12:53;;;33.568001;-7.684329999999999;+212643189380;inwi, NOUREDDINE EL ABBASSI;;94671-H-6;1;;+212643189380;;;0;Hub n'est pas egale a M2T
00 HAY EL BARAKA AL HOUDA RUE 16 N 275 Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;12:58;;;33.568001;-7.684329999999999;+212602144056;inwi, AMINE MOURAD;;94671-H-6;1;;+212602144056;;;0;Hub n'est pas egale a M2T
45 AV C ETG 4 Hay el baraka Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;13:03;;;33.568001;-7.684329999999999;+212625439655;MAFITIS, Ichou Hanane;;94671-H-6;1;;+212625439655;;;0;Hub n'est pas egale a M2T
00 SIDI MAAROUF 5 RUE 64 IMMEUBLE N°4 1er étage Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;13:15;;;33.5620691;-7.692520999999999;+212688888602;inwi, AZIZE AHMED;;94671-H-6;1;;+212688888602;;;0;Hub n'est pas egale a M2T
wifak 2 .rue 65 n 40 oulfa Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:22;M2T;701145;33.5593747;-7.6925247;+212660005391;CASELOULFA;CASH PLUS;94671-H-6;1;DM220497837;+212660005391;;;0;date de depart non conforme
5 op raid oulfa etg mg 141 gr 39 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:32;M2T;702299;33.5514443;-7.7026269;+212669400655;Riad El Oulfa;CASH PLUS;94671-H-6;1;DM220497837;+212669400655;;;0;date de depart non conforme
RAHMA CENTRE Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:45;M2T;702181;33.5351396;-7.7212838;+212665670718;RAHMA CENTRE;CASH PLUS;94671-H-6;1;DM220497837;+212665670718;;;0;date de depart non conforme
Boulevard Oued Sebou,Arrahma Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;13:55;M2T;700733;33.5294571;-7.7351284;+212662587245;Arrahma 80;CASH PLUS;94671-H-6;1;DM220497837;+212662587245;;;0;date de depart non conforme
Ikamat Al Amal Gh 4 Imm 38 Rahma Casablanca Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;14:05;M2T;009094;33.5345581;-7.7360923;+212614068079;Chaabi Cash GBNI;M2T;94671-H-6;1;DM220497837;+212614068079;;;0;date de depart non conforme
Jnane El Mouhit Gh5 Imm J10 Magasin N 28 Dar Bouazza Casablanca Jnane El Mouhit Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;14:11;M2T;009504;33.536344;-7.737108;+212661265566;CHAABI Cash MK Khadamat;M2T;94671-H-6;1;DM220497837;+212661265566;;;0;date de depart non conforme
Km 19 route d azemourTamaris 2 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;14:43;M2T;701804;33.501342;-7.856983;+212663762270;Tamaris km 19;CASH PLUS;94671-H-6;1;DM220497837;+212663762270;;;0;date de depart non conforme
Centre Commune Rurale Dar Bouazza 27223 NOUACEUR Nouaceur;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:02;M2T;083781;33.5214229;-7.8231982;+212702093126;BC DAR BOUAZZA;BARID CASH;94671-H-6;1;DM220497837;+212702093126;;;0;date de depart non conforme
Village pilote lot 292 RDC Dar Bouazza Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;15:09;;;33.524034;-7.825917399999999;+212600000000;M2T, ES13040Agence AttawfikCasa Dar Bouazza;;94671-H-6;1;;+212600000000;;;0;Hub n'est pas egale a M2T
Riad Rahma 2 Gh3 Imm 3 Magasin 03 Projet Alliance Dar Bouazza Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;15:14;;;33.524034;-7.825917399999999;+212664271765;M2T, ES9481Chaabi Cash Marocaine des affaires diverses;;94671-H-6;1;;+212664271765;;;0;Hub n'est pas egale a M2T
RESIDENCE HADAIK RABII ENTREE ECOLE BELGE VILLA 44 DAR BOUAZZA Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;15:19;;;33.524034;-7.825917399999999;+212666811090;COOPERATIVE DAR LEMLIH, MME KHADIJA;;94671-H-6;1;;+212666811090;;;0;Hub n'est pas egale a M2T
residence next house villa N 45 Casablanca;Ghyab Taoufik;;;;;09:00-17:00;;18/04/2022;5;;15:24;;;33.524034;-7.825917399999999;+212680845124;Moroccan Bazaar, sofia skali;;94671-H-6;1;;+212680845124;;;0;Hub n'est pas egale a M2T
00 GRAND BOULEVARD PROVINCE DE NOUACEUR Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:29;;;33.524034;-7.825917399999999;+212663743910;TOP MACHINERY ( BRICONET ), FETTAH HOUCINE;;94671-H-6;1;;+212663743910;;;0;Hub n'est pas egale a M2T
Gh Immeuble 1 Magasin N24 Park Errahma Errahma 2 Casa Dar Bouazza 00 Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:34;;;33.524034;-7.825917399999999;+212664682269;M2T, ES9429Chaabi Cash IMA-WAL Services;;94671-H-6;1;;+212664682269;;;0;Hub n'est pas egale a M2T
Mag 7 Imm 17 Gh 4 Dyar Al Amal Errahma Dar Boazza Casablanca Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:39;;;33.524034;-7.825917399999999;+212644439147;CNSS, M2T_M2T_009380;;94671-H-6;1;;+212644439147;;;0;Hub n'est pas egale a M2T
Magasin Rdc Lot N 02 lotissement Inane Errahma Errahma Darbouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:44;;;33.524034;-7.825917399999999;+212662087464;M2T, ES9477Chaabi Cash Easy Payment;;94671-H-6;1;;+212662087464;;;0;Hub n'est pas egale a M2T
6 Operation Annakhil Rahma Gh7 Magasin N 02 CASA Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:49;;;33.524034;-7.825917399999999;+212661089576;M2T, ES9563Chaabi Cash S2A Service;;94671-H-6;1;;+212661089576;;;0;Hub n'est pas egale a M2T
N 9 LOT AL FATH S 4 GH38 IMM 282 DAR BOUAZZA 00 Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:54;;;33.524034;-7.825917399999999;+212661869343;M2T, ES9234Chaabi Cash Mors Service;;94671-H-6;1;;+212661869343;;;0;Hub n'est pas egale a M2T
residence next house villa N 45 Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;15:59;;;33.524034;-7.825917399999999;+212680845124;Moroccan Bazaar, sofia skali;;94671-H-6;1;;;;;0;Hub n'est pas egale a M2T
Mag 7 Imm 17 Gh 4 Dyar Al Amal Errahma Dar Boazza Casablanca Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;16:04;;;33.524034;-7.825917399999999;+212644439147;CNSS, M2T_M2T_009380;;94671-H-6;1;;+212644439147;;;0;Hub n'est pas egale a M2T
Jnane El Mouhit Gh5 Imm J10 Magasin N 28 Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;16:09;;;33.524034;-7.825917399999999;+212661265566;M2T, ES9504CHAABI Cash MK Khadamat;;94671-H-6;1;;+212661265566;;;0;Hub n'est pas egale a M2T
Mag Lotiss Ryad Sahel Lot N 53 Had Soualem Berrechid -Soualem Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;16:46;;;33.4259206;-7.842347599999999;+212687324776;M2T, ES984Chaabi Cach Diverta;;94671-H-6;1;;+212687324776;;;0;Hub n'est pas egale a M2T
00 RYAD SAHEL PROVINCE DE BERRECHID Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;16:52;;;33.4246841;-7.8431564;+212668446028;TOP MACHINERY ( BRICONET ), ABDELMAJID QZAIBAR;;94671-H-6;1;;+212668446028;;;0;Hub n'est pas egale a M2T
Douar Ouled Allal Sahel Ouled Hriz 00 Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:01;;;33.42125559999999;-7.8469981;+212618962438;M2T, ES10386Tasshilat Benghalem;;94671-H-6;1;;+212618962438;;;0;Hub n'est pas egale a M2T
00 ROUTE BIR JDID PROVINCE DE BERRECHID Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:06;;;33.42125559999999;-7.8469981;+212661422057;TOP MACHINERY ( BRICONET ), HASSAN KAMAL;;94671-H-6;1;;+212661422057;;;0;Hub n'est pas egale a M2T
190 Lotissement Sahel Had Soualem Had Soualem 00 Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:11;;;33.42125559999999;-7.8469981;+212661511838;M2T, ES866Chaabi Cash Soualem Phone;;94671-H-6;1;;+212661511838;;;0;Hub n'est pas egale a M2T
CENTRE COMMERCIAL 00 Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:16;;;33.42125559999999;-7.8469981;+212601790171;NUTRILIONZ, YASSINE ECHARAFI;;94671-H-6;1;;+212601790171;;;0;Hub n'est pas egale a M2T
00 lot souk el kdim n°148 hed el swalm Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:21;;;33.42125559999999;-7.8469981;+212638439408;2WLS, brahim ait mouh;;94671-H-6;1;;+212638439408;;;0;Hub n'est pas egale a M2T
00 lot souk el kdim n°148 hed el swalm Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:26;;;33.42125559999999;-7.8469981;+212638439408;2WLS, brahim ait mouh;;94671-H-6;1;;+212638439408;;;0;Hub n'est pas egale a M2T
Douar Ouled Allal Sahel Ouled Hriz 00 Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:31;;;33.42125559999999;-7.8469981;+212618962438;M2T, ES10386Tasshilat Benghalem;;94671-H-6;1;;+212618962438;;;0;Hub n'est pas egale a M2T
00 ROUTE BIR JDID PROVINCE DE BERRECHID Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:36;;;33.42125559999999;-7.8469981;+212661422057;TOP MACHINERY ( BRICONET ), HASSAN KAMAL;;94671-H-6;1;;+212661422057;;;0;Hub n'est pas egale a M2T
190 Lotissement Sahel Had Soualem Had Soualem 00 Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:41;;;33.42125559999999;-7.8469981;+212661511838;M2T, ES866Chaabi Cash Soualem Phone;;94671-H-6;1;;+212661511838;;;0;Hub n'est pas egale a M2T
CENTRE COMMERCIAL 00 Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:46;;;33.42125559999999;-7.8469981;+212601790171;NUTRILIONZ, YASSINE ECHARAFI;;94671-H-6;1;;+212601790171;;;0;Hub n'est pas egale a M2T
tashilat prét de pharmacie yasmina ، حد السوالم Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:54;;;33.4199864;-7.8523787;+212661717979;M2T, ES970Chaabi Cash EDIS;;94671-H-6;1;;+212661717979;;;0;Hub n'est pas egale a M2T
00 dyar dakhama 3 appart 16 imm 50 hed soualem Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;17:59;;;33.4201747;-7.852828000000001;+212610773739;2WLS, MOHAMED ait mouh;;94671-H-6;1;;+212610773739;;;0;Hub n'est pas egale a M2T
00 dyar dakhama 3 appart 16 imm 50 hed soualem Had soualem;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;18:04;;;33.4201747;-7.852828000000001;+212610773739;2WLS, MOHAMED ait mouh;;94671-H-6;1;;+212610773739;;;0;Hub n'est pas egale a M2T
N 9 Lot Al Fath S 4 Gh38 Imm 282 Dar Bouazza Dar bouazza;Ghyab Taoufik;;;;;14:00-19:00;;18/04/2022;5;;18:49;M2T;009234;33.5165996;-7.7181208;+212661869343;Chaabi Cash Mors Service;M2T;94671-H-6;1;DM220497837;+212661869343;;;0;date de depart non conforme
12 RUE BOUJEMAA 1 ER ETG APT N 6 Casablanca;Ghyab Taoufik;;;;;10:00-19:00;;18/04/2022;5;;18:59;M2T;701955;33.5174743;-7.7072098;+212645257844;IRAQUI RES BADR;CASH PLUS;94671-H-6;1;DM220497837;+212645257844;;;0;date de depart non conforme
Rue Berkane N° 52 Ahfir;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;700363;34.951819;-2.099753;+212536627374;AHFIR;CASH PLUS;34602 - B - 7;1;DM220497837;+212536627374;;;0;date de depart non conforme
Angle Bd Hassan II et Rue de la Poste 63602 SAIDIA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;10:45;M2T;083919;35.08594;-2.226403;+212701083125;BC SAIDIA;BARID CASH;34602 - B - 7;1;DM220497837;+212701083125;;;0;date de depart non conforme
Lotiss Ikhae NÂ°24 Saidia Saidia;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;10:52;M2T;003599;35.08496;-2.22135;+212638931271;Chaabi Cash TM Travaux;M2T;34602 - B - 7;1;DM220497837;+212638931271;;;0;date de depart non conforme
RUE AL FATH LOT AL ANSAR 02 LAATAMNA Laatamna;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;11:23;M2T;702139;35.009495;-2.26107;+212618673490;CAFE MAURE;CASH PLUS;34602 - B - 7;1;DM220497837;+212618673490;;;0;date de depart non conforme
Souk Lakhmiss Centre Madagh Madagh;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;11:46;M2T;003342;35.01055;-2.33756;+212613176393;Chaabi Cash Afroukh;M2T;34602 - B - 7;1;DM220497837;+212613176393;;;0;date de depart non conforme
16 Al Ahram Hay Al Massira Berkane Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:11;M2T;006438;34.93566;-2.33132;+212620307565;Chaabi Cash Centre de Services et de Financement;M2T;34602 - B - 7;1;DM220497837;+212620307565;;;0;date de depart non conforme
Boulevard El Ahram Rue El Massira Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:16;M2T;702007;34.934518;-2.331045;+212670843813;BERALAHRAM;CASH PLUS;34602 - B - 7;1;DM220497837;+212670843813;;;0;date de depart non conforme
69,Rue Chouhada Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:25;M2T;701345;34.92867;-2.334098;+212536230803;BERKANE;CASH PLUS;34602 - B - 7;1;DM220497837;+212536230803;;;0;date de depart non conforme
Bloc Ae2 Bd Prince Heritier Sidi Slimane Cheraa Sidi Slimane Chraa Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:40;M2T;006577;34.91114;-2.34746;+212601559656;Chaabi Cash Gusto Car;M2T;34602 - B - 7;1;DM220497837;+212601559656;;;0;date de depart non conforme
HAY IBNO SINAE HAY BOUKRAA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;12:54;M2T;700360;34.921882;-2.324608;+212536615888;IBNOUSINA;CASH PLUS;34602 - B - 7;1;DM220497837;+212536615888;;;0;date de depart non conforme
N 9 RUR EL MOUAHIDINE HAY BOUKRAA Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;13:01;M2T;700093;34.92159;-2.322832;+212661980409;BERELYOUSSFI;CASH PLUS;34602 - B - 7;1;DM220497837;+212661980409;;;0;date de depart non conforme
45 Rue Sijilmassa Hay Palestine Berkane Berkane Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;13:10;M2T;006666;34.91566;-2.3158;+212622096128;Chaabi Cash Al Wijdan Service;M2T;34602 - B - 7;1;DM220497837;+212622096128;;;0;date de depart non conforme
Rue Sijilmassa Quartier El Ouidadia 63302 BERKANE Berkane;El bachir  ayyadi;;;;;10:00-19:00;;18/04/2022;5;;13:15;M2T;083765;34.9163452;-2.3154867;+212700617427;BC BERKANE EL OUIDADAYA;BARID CASH;34602 - B - 7;1;DM220497837;+212700617427;;;0;date de depart non conforme
Rue mouna sidi omar 00 Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:00;;;33.268687;-7.5843171;+212669433320;Moroccan Bazaar, ايمان الصنهاجي;;95101-H-6;1;;+212669433320;;;0;Hub n'est pas egale a M2T
00 70 rue kassr el badii Hay Ryad Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:05;;;33.268687;-7.5843171;+212668411135;2WLS, Radouane El Harradji;;95101-H-6;1;;+212668411135;;;0;Hub n'est pas egale a M2T
86 Rue Ali Bnou Abi Talib Berrechid Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:11;M2T;006525;33.26697;-7.58503;+212678878600;Chaabi Cash ZMJ Technologie;M2T;95101-H-6;1;DM220497837;+212678878600;;;0;date de depart non conforme
CENTE VILLE 1 Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:18;;;33.2662874;-7.578925899999999;+212633850619;AVITO, JAWAD ESSERH;;95101-H-6;1;;+212633850619;;;0;Hub n'est pas egale a M2T
51 BD Brahim Roudani Hay Zahra Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:24;;;33.26411947050329;-7.575444668240252;+212662707595;M2T, ES11071 Tasshilat Khaoua;;95101-H-6;1;;+212662707595;;;0;Hub n'est pas egale a M2T
NÂ°143 Rue Brahim Roudani Brahim Roudani Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:29;M2T;006002;33.26352;-7.57466;+212661134090;Chaabi Cash Promabi;M2T;95101-H-6;1;DM220497837;+212661134090;;;0;date de depart non conforme
147 Bd Brahim Roudani El Wahda Berrechid Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:35;M2T;010056;33.26385;-7.5713;+212664240278;Chaabi Cash Lamari;M2T;95101-H-6;1;DM220497837;+212664240278;;;0;date de depart non conforme
Bd Rahhal Meskini 26102 Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:42;M2T;083416;33.26908;-7.57391;+212604800098;BC BERRECHID HAY HASSANI;BARID CASH;95101-H-6;1;DM220497837;+212604800098;;;0;date de depart non conforme
N560 Hay Hassani Berrechid Berrechid;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;10:48;M2T;000519;33.27219;-7.57146;+212636808349;Chaabi Cash M2t - Berrechid - Hay Hassan;M2T;95101-H-6;1;DM220497837;+212636808349;;;0;date de depart non conforme
Riad al andalouss casablanca Casablanca;morad hammaoui ;;;;;09:00-17:00;;18/04/2022;5;;11:09;;;33.36214106723871;-7.536501179615018;+212650352400;Moroccan Bazaar, Bellanaya abdelilah;;95101-H-6;1;;+212650352400;;;0;Hub n'est pas egale a M2T
RESIDENCE MEDINA 2 Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:17;M2T;701511;33.37091;-7.54203;+212699239174;MEDINA 2 DEROUA;CASH PLUS;95101-H-6;1;DM220497837;+212699239174;;;0;date de depart non conforme
LOT EL WAFA N 93 BD OUM RABII DEROUA Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:23;M2T;701210;33.3726485;-7.5362225;+212663503206;DEROUA OUM RABII;CASH PLUS;95101-H-6;1;DM220497837;+212663503206;;;0;date de depart non conforme
Mag N15 Nabila Makhlouf 2 Deroua El Gara Deroua Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:32;M2T;000909;33.38596;-7.53288;+212609410817;Chaabi Cash Star Services Auto;M2T;95101-H-6;1;DM220497837;+212609410817;;;0;date de depart non conforme
ETAGE RBC 540 LOTTISEMENT WAFA Deroua;morad hammaoui ;;;;;10:00-13:00;;18/04/2022;5;;11:42;M2T;701179;33.36909;-7.52915;+212664550394;DEROUALWAFA;CASH PLUS;95101-H-6;1;DM220497837;+212664550394;;;0;date de depart non conforme
hay farah N 24 Bloc PAM III Bd Mekki elhejjaji Sidi hajjaj oulad mrah;morad hammaoui ;;;;;10:00-19:00;;18/04/2022;5;;13:24;M2T;701017;32.9157463;-7.2631756;+212602127650;Sidi Hajjaj;CASH PLUS;95101-H-6;1;DM220497837;+212602127650;;;0;date de depart non conforme
Centre Dar chafai brouj Quasbatt dar chafaye;morad hammaoui ;;;;;10:00-19:00;;18/04/2022;5;;14:55;M2T;701034;32.54952;-7.49977;+212608489177;DAR CHAFAII;CASH PLUS;95101-H-6;1;DM220497837;+212608489177;;;0;date de depart non conforme
00 Parc industriel SettaPark Settat;morad hammaoui ;;;;;13:00-19:00;;18/04/2022;5;;16:19;;;32.9804475;-7.6216985;+212662638417;TOP MACHINERY ( BRICONET ), Briconet (settat);;95101-H-6;1;;+212662638417;;;0;Hub n'est pas egale a M2T
Lotissement Riad El ali n 197 settat Settat;morad hammaoui ;;;;;13:00-19:00;;18/04/2022;5;;16:27;;;32.99242419999999;-7.622266499999999;+212624852712;AL MOGGAR LIVRES, ACHRAF EL MAJDOUL;;95101-H-6;1;;+212624852712;;;0;Hub n'est pas egale a M2T
62 tranche 04Hay essalam Settat;morad hammaoui ;;;;;13:00-19:00;;18/04/2022;5;;16:40;M2T;700932;32.99553;-7.64633;+212623777939;Hay essalam tranche 04;CASH PLUS;95101-H-6;1;DM220497837;+212623777939;;;0;date de depart non conforme
MASSIRA 3 B N 691 Marrakech;Hassan  Ait said;;;;;09:00-17:00;;18/04/2022;5;;09:27;;;31.6426535;-8.064250399999999;+212661731390;COOPERATIVE DAR LEMLIH, MME HIND MAIDOUNI;;6415 T 6;1;;+212661731390;;;0;Hub n'est pas egale a M2T
